"time","mean_OMUVBd_003_UVindex"
2020-08-03,9.72045135
2020-08-04,9.00153065
2020-08-05,9.60956955
2020-08-06,10.3056087
2020-08-07,11.1754255
2020-08-08,10.938818
2020-08-09,11.0077353
2020-08-10,11.3624783
2020-08-11,10.1889849
2020-08-12,10.8515034
2020-08-13,10.5733538
2020-08-14,11.1336155
2020-08-15,10.4643497
2020-08-16,10.9862995
2020-08-17,11.3939342
2020-08-18,11.3520184
2020-08-19,11.2416525
2020-08-20,11.5267649
2020-08-21,11.7767687
2020-08-22,11.2521162
2020-08-23,12.1965246
2020-08-24,11.1008539
2020-08-25,11.5139952
2020-08-26,11.5738792
2020-08-27,12.0368242
2020-08-28,11.5805292
2020-08-29,10.6100674
2020-08-30,11.8038893
2020-08-31,11.3200712
2020-09-01,11.1207819
2020-09-02,10.3425293
2020-09-03,10.2335453
2020-09-04,11.4908838
2020-09-05,11.1944141
2020-09-06,11.0140448
2020-09-07,10.4875288
2020-09-08,11.5770006
2020-09-09,11.1819735
2020-09-10,10.8616762
2020-09-11,11.01859
2020-09-12,11.3181696
2020-09-13,10.2872286
2020-09-14,11.0127907
2020-09-15,11.3064222
2020-09-16,11.8235912
2020-09-17,12.0932026
2020-09-18,12.2931471
2020-09-19,12.2658987
2020-09-20,11.5087452
2020-09-21,11.2558231
2020-09-22,11.747735
2020-09-23,11.7756119
2020-09-24,12.4442692
2020-09-25,11.1245251
2020-09-26,11.292491
2020-09-27,10.9175186
2020-09-28,11.5989008
2020-09-29,12.2494535
2020-09-30,11.3744946
2020-10-01,12.0466509
2020-10-02,11.8743601
2020-10-03,11.6851254
2020-10-04,11.4750824
2020-10-05,12.2064886
2020-10-06,12.394825
2020-10-07,10.6910219
2020-10-08,11.0949059
2020-10-09,10.70012
2020-10-10,11.2216988
2020-10-11,11.3388786
2020-10-12,11.4149609
2020-10-13,12.1001072
2020-10-14,11.810051
2020-10-15,10.9902658
2020-10-16,11.5561838
2020-10-17,11.3641415
2020-10-18,11.091177
2020-10-19,11.8414707
2020-10-20,12.3980684
2020-10-21,12.2942619
2020-10-22,12.3697243
2020-10-23,11.8563557
2020-10-24,11.8992615
2020-10-25,11.4597511
2020-10-26,11.1464548
2020-10-27,11.7360888
2020-10-28,11.6811209
2020-10-29,11.2454062
2020-10-30,12.2383556
2020-10-31,11.1409206
2020-11-01,11.5011024
2020-11-02,10.5789595
2020-11-03,9.55503273
2020-11-04,11.5916147
2020-11-05,11.6650038
2020-11-06,11.1618986
2020-11-07,11.6069946
2020-11-08,10.9682779
2020-11-09,12.0198231
2020-11-10,12.2781277
2020-11-11,12.1599216
2020-11-12,12.0081081
2020-11-13,12.3645058
2020-11-14,11.2073326
2020-11-15,11.3952341
2020-11-16,11.5827312
2020-11-17,11.1592579
2020-11-18,11.6123009
2020-11-19,11.1303263
2020-11-20,11.4244461
2020-11-21,9.90822315
2020-11-22,10.5866499
2020-11-23,11.0274811
2020-11-24,10.8253727
2020-11-25,10.1061897
2020-11-26,9.41126633
2020-11-27,10.516407
2020-11-28,10.5636606
2020-11-29,10.1175747
2020-11-30,10.1719847
2020-12-01,10.6720428
2020-12-02,10.4730091
2020-12-03,10.8993664
2020-12-04,10.8232164
2020-12-05,10.8544416
2020-12-06,10.443944
2020-12-07,10.779603
2020-12-08,11.8060131
2020-12-09,10.9136419
2020-12-10,10.5006657
2020-12-11,11.2624302
2020-12-12,9.99404812
2020-12-13,10.8432102
2020-12-14,10.4709969
2020-12-15,10.2461386
2020-12-16,9.66350079
2020-12-17,10.5484104
2020-12-18,10.2932844
2020-12-19,10.1424379
2020-12-20,10.6609449
2020-12-21,10.0186472
2020-12-22,10.7141047
2020-12-23,11.5066538
2020-12-24,10.5004206
2020-12-25,10.6792631
2020-12-26,9.71948338
2020-12-27,11.8492842
2020-12-28,10.3073025
2020-12-29,10.7090673
2020-12-30,10.7013931
2020-12-31,10.716979
2021-01-01,11.0960131
2021-01-02,10.7396984
2021-01-03,11.1636753
2021-01-04,10.4084501
2021-01-05,10.6293678
2021-01-06,10.4050541
2021-01-07,10.5952568
2021-01-08,11.014328
2021-01-09,10.9630861
2021-01-10,11.0131798
2021-01-11,10.8797112
2021-01-12,11.2942581
2021-01-13,9.85720634
2021-01-14,10.6037617
2021-01-15,10.3992157
2021-01-16,10.853158
2021-01-17,9.90357018
2021-01-18,10.079874
2021-01-19,10.815917
2021-01-20,11.9355574
2021-01-21,11.898406
2021-01-22,12.3618345
2021-01-23,11.638629
2021-01-24,11.0965843
2021-01-25,10.8603601
2021-01-26,10.9731426
2021-01-27,10.6036501
2021-01-28,10.4555006
2021-01-29,10.2981625
2021-01-30,10.9963465
2021-01-31,11.2809315
2021-02-01,10.6932049
2021-02-02,11.5551224
2021-02-03,11.0425959
2021-02-04,11.2263412
2021-02-05,11.1927366
2021-02-06,11.9910526
2021-02-07,11.7562208
2021-02-08,12.4871321
2021-02-09,11.8196278
2021-02-10,12.5834627
2021-02-11,12.0216208
2021-02-12,12.0774946
2021-02-13,10.8290701
2021-02-14,11.3594208
2021-02-15,12.1904135
2021-02-16,12.2226162
2021-02-17,12.5878935
2021-02-18,11.3531618
2021-02-19,11.4125223
2021-02-20,12.1112452
2021-02-21,12.3490057
2021-02-22,11.2304077
2021-02-23,12.1313763
2021-02-24,11.3079729
2021-02-25,12.8706045
2021-02-26,12.3169985
2021-02-27,13.3961287
2021-02-28,12.266386
2021-03-01,12.4318218
2021-03-02,11.7850771
2021-03-03,12.1922112
2021-03-04,12.4960165
2021-03-05,12.3469954
2021-03-06,11.6581573
2021-03-07,11.5421619
2021-03-08,12.4812393
2021-03-09,12.1673889
2021-03-10,12.021862
2021-03-11,12.8160629
2021-03-12,12.1291695
2021-03-13,12.2411213
2021-03-14,11.7429991
2021-03-15,13.2325897
2021-03-16,12.4459286
2021-03-17,12.9970789
2021-03-18,12.2399912
2021-03-19,13.2939692
2021-03-20,12.8176146
2021-03-21,12.7636213
2021-03-22,12.5014582
2021-03-23,11.9608088
2021-03-24,12.1891832
2021-03-25,11.3692951
2021-03-26,11.5310078
2021-03-27,11.0911598
2021-03-28,11.596015
2021-03-29,11.4475994
2021-03-30,11.5538044
2021-03-31,11.7233553
2021-04-01,11.0713711
2021-04-02,11.1073637
2021-04-03,11.1311741
2021-04-04,12.3187571
2021-04-05,12.2897291
2021-04-06,11.9437561
2021-04-07,11.3037434
2021-04-08,11.469842
2021-04-09,12.2770329
2021-04-10,11.345005
2021-04-11,11.7470303
2021-04-12,11.9479828
2021-04-13,11.7550287
2021-04-14,12.2153559
2021-04-15,11.5957928
2021-04-16,12.4964914
2021-04-17,10.9185133
2021-04-18,11.3156748
2021-04-19,11.9746723
2021-04-20,12.0735779
2021-04-21,12.2391672
2021-04-22,11.1518097
2021-04-23,12.0162296
2021-04-24,11.5605183
2021-04-25,11.268961
2021-04-26,11.6399984
2021-04-27,11.7412882
2021-04-28,11.5811357
2021-04-29,11.4969921
2021-04-30,11.0535574
2021-05-01,11.1116266
2021-05-02,11.2041636
2021-05-03,11.2108994
2021-05-04,10.8263435
2021-05-05,9.5797224
2021-05-06,9.66802979
2021-05-07,9.71299362
2021-05-08,10.0779629
2021-05-09,9.514431
2021-05-10,10.6746378
2021-05-11,10.6057816
2021-05-12,10.3868923
2021-05-13,10.0813618
2021-05-14,10.0651255
2021-05-15,10.2245998
2021-05-16,9.3516283
2021-05-17,9.12828541
2021-05-18,8.95528221
2021-05-19,9.37038612
2021-05-20,9.64367962
2021-05-21,9.85034847
2021-05-22,10.2315664
2021-05-23,9.88426781
2021-05-24,10.4339714
2021-05-25,10.254303
2021-05-26,10.0236139
2021-05-27,10.2878389
2021-05-28,9.86326122
2021-05-29,10.2814064
2021-05-30,9.90181351
2021-05-31,9.8471365
2021-06-01,9.93289185
2021-06-02,10.2586308
2021-06-03,10.4208212
2021-06-04,9.78931522
2021-06-05,9.7588501
2021-06-06,10.015379
2021-06-07,9.77255821
2021-06-08,10.1755934
2021-06-09,10.4378252
2021-06-10,9.27995014
2021-06-11,9.76515484
2021-06-12,9.08113861
2021-06-13,9.05491829
2021-06-14,9.19684219
2021-06-15,8.77880096
2021-06-16,9.84570217
2021-06-17,9.15079689
2021-06-18,9.0218811
2021-06-19,9.37018299
2021-06-20,8.89128113
2021-06-21,9.1238451
2021-06-22,9.11383152
2021-06-23,9.56976891
2021-06-24,9.06002235
2021-06-25,9.27501488
2021-06-26,9.33300209
2021-06-27,8.94332123
2021-06-28,9.03925419
2021-06-29,8.85555077
2021-06-30,9.59548473
2021-07-01,8.93547249
2021-07-02,9.0432291
2021-07-03,8.53558159
2021-07-04,9.31117439
2021-07-05,9.17343521
2021-07-06,8.76337624
2021-07-07,9.22092533
2021-07-08,9.07688522
2021-07-09,8.8715744
2021-07-10,9.1254282
2021-07-11,8.67856312
2021-07-12,9.42597103
2021-07-13,8.46091843
2021-07-14,7.94265413
2021-07-15,8.86407757
2021-07-16,8.62530422
2021-07-17,9.51580715
2021-07-18,10.0721369
2021-07-19,10.196331
2021-07-20,10.0302639
